Open,Minimum,Maximum,Close,Date,Position
"1,820,400","1,793,800","1,849,200","1,830,800",2018/05/19,High
"1,854,600","1,818,100","1,854,600","1,819,200",2018/05/18,Low
"1,856,400","1,847,400","1,857,300","1,851,800",2018/05/17,Low
"1,851,300","1,842,300","1,864,500","1,864,500",2018/05/16,High
"1,857,600","1,838,900","1,867,700","1,853,400",2018/05/15,Low
"1,841,380","1,826,200","1,868,900","1,855,500",2018/05/14,High
"1,907,180","1,830,760","1,909,260","1,839,300",2018/05/13,Low
"1,963,510","1,904,640","1,963,510","1,913,870",2018/05/12,Low
"2,006,910","1,948,500","2,013,610","1,971,590",2018/05/11,Low
"2,009,910","2,006,220","2,041,080","2,016,380",2018/05/10,High
"1,943,420","1,942,040","1,996,980","1,995,140",2018/05/09,High
"1,960,740","1,926,110","2,031,380","1,939,500",2018/05/08,High
"1,868,160","1,842,070","1,941,580","1,891,940",2018/05/07,High
"1,966,050","1,821,530","1,966,280","1,865,850",2018/05/06,Low
"2,006,220","1,954,270","2,084,710","1,965,820",2018/05/05,Low
"1,893,090","1,700,320","1,990,060","1,987,750",2018/05/04,High
"1,882,480","1,865,390","1,885,940","1,885,010",2018/05/03,High
"1,870,470","1,865,390","1,897,710","1,873,470",2018/05/02,High
"1,821,760","1,821,060","1,867,700","1,867,700",2018/05/01,High
"1,798,670","1,798,210","1,843,460","1,812,060",2018/04/30,High
"1,762,890","1,760,810","1,798,900","1,797,290",2018/04/29,High
"1,736,110","1,734,950","1,770,740","1,756,880",2018/04/28,High
"1,729,640","1,725,260","1,736,110","1,734,950",2018/04/27,High
"1,723,410","1,722,720","1,727,100","1,727,100",2018/04/26,High
"1,713,250","1,713,250","1,725,720","1,724,560",2018/04/25,High
"1,711,400","1,710,250","1,716,480","1,712,560",2018/04/24,Low
"1,695,010","1,693,170","1,714,170","1,713,250",2018/04/23,High
"1,698,710","1,687,390","1,699,170","1,692,240",2018/04/22,Low
"1,713,020","1,694,550","1,713,020","1,694,550",2018/04/21,Low
"1,700,320","1,700,320","1,727,560","1,709,560",2018/04/20,High
"1,698,710","1,695,940","1,700,090","1,698,710",2018/04/19,Low
"1,688,550","1,688,090","1,704,480","1,700,780",2018/04/18,High
"1,688,090","1,686,930","1,701,940","1,691,320",2018/04/17,High
"1,699,630","1,683,930","1,714,870","1,688,320",2018/04/16,Low
"1,699,860","1,697,550","1,726,870","1,704,940",2018/04/15,High
"1,661,070","1,661,070","1,699,170","1,696,860",2018/04/14,High
"1,645,140","1,645,140","1,676,080","1,665,690",2018/04/13,High
"1,641,450","1,640,070","1,655,300","1,653,920",2018/04/12,High
"1,654,150","1,633,600","1,664,540","1,635,220",2018/04/11,Low
"1,575,650","1,575,420","1,671,460","1,662,460",2018/04/10,High
"1,601,050","1,562,260","1,653,230","1,578,660",2018/04/09,Low
"1,707,940","1,699,170","1,785,970","1,713,020",2018/04/08,High
"1,671,460","1,671,460","1,739,570","1,696,860",2018/04/07,High
"1,611,440","1,611,440","1,659,920","1,659,920",2018/04/06,High
"1,606,820","1,606,820","1,606,820","1,606,820",2018/04/05,High
"1,599,200","1,595,280","1,608,670","1,606,360",2018/04/04,High
"1,600,820","1,600,360","1,608,210","1,601,970",2018/04/03,High
"1,604,510","1,599,430","1,615,590","1,599,900",2018/04/02,High
"1,592,970","1,592,970","1,592,970","1,592,970",2018/03/30,High
"1,589,740","1,589,740","1,591,810","1,591,810",2018/03/29,High
"1,578,890","1,576,580","1,589,740","1,588,580",2018/03/28,High
"1,595,970","1,574,270","1,595,970","1,574,270",2018/03/27,Low
"1,619,750","1,594,820","1,621,600","1,595,740",2018/03/26,Low
"1,599,430","1,597,820","1,623,210","1,620,670",2018/03/25,High
"1,581,430","1,581,430","1,596,430","1,596,430",2018/03/24,High
"1,552,800","1,552,800","1,565,270","1,565,270",2018/03/23,High
"1,547,720","1,547,260","1,554,180","1,552,570",2018/03/22,High
"1,535,020","1,535,020","1,544,950","1,541,490",2018/03/21,High
"1,532,480","1,528,330","1,534,790","1,533,410",2018/03/19,Low
"1,524,860","1,523,020","1,535,480","1,533,640",2018/03/18,High
"1,512,860","1,512,860","1,532,710","1,522,790",2018/03/17,High
"1,519,090","1,511,010","1,519,090","1,513,330",2018/03/16,Low
"1,520,710","1,517,250","1,522,560","1,518,630",2018/03/15,Low
"1,530,870","1,512,860","1,531,100","1,519,780",2018/03/14,Low
"1,533,410","1,530,640","1,538,480","1,530,640",2018/03/13,Low
"1,518,400","1,517,010","1,533,870","1,533,640",2018/03/12,High
"1,509,630","1,508,010","1,519,550","1,519,550",2018/03/11,High
"1,514,470","1,509,400","1,517,940","1,509,400",2018/03/10,High
"1,500,850","1,499,470","1,516,780","1,500,620",2018/03/09,No Change
"1,497,390","1,496,470","1,501,550","1,500,620",2018/03/08,High
"1,497,620","1,494,850","1,501,080","1,498,550",2018/03/07,High
"1,504,090","1,496,010","1,505,010","1,496,930",2018/03/06,Low
"1,487,460","1,484,460","1,498,310","1,498,310",2018/03/05,High
"1,493,000","1,485,390","1,496,470","1,485,390",2018/03/04,Low
"1,491,860","1,485,850","1,492,090","1,490,230",2018/03/03,High
"1,485,850","1,481,470","1,485,850","1,485,390",2018/03/02,Low
"1,479,610","1,478,920","1,486,540","1,486,080",2018/03/01,High
"1,473,840","1,468,070","1,477,540","1,473,850",2018/02/28,Low
"1,470,610","1,463,220","1,482,620","1,474,070",2018/02/27,High
"1,495,540","1,469,460","1,496,470","1,469,460",2018/02/26,Low
"1,469,460","1,469,460","1,499,470","1,494,160",2018/02/25,High
"1,451,680","1,451,680","1,465,300","1,465,300",2018/02/24,High
"1,438,520","1,438,520","1,453,760","1,452,600",2018/02/23,High
"1,438,520","1,437,830","1,438,980","1,438,290",2018/02/22,Low
"1,427,900","1,423,280","1,438,980","1,438,750",2018/02/21,High
"1,431,360","1,421,200","1,434,830","1,429,050",2018/02/20,Low
"1,440,600","1,426,520","1,448,220","1,443,370",2018/02/18,Low
"1,442,910","1,417,970","1,456,070","1,456,070",2018/02/17,Low
"1,493,700","1,460,220","1,493,700","1,460,220",2018/02/16,Low
"1,496,930","1,483,770","1,511,940","1,487,000",2018/02/14,Low
"1,517,010","1,496,240","1,517,480","1,496,470",2018/02/13,Low
"1,528,560","1,515,860","1,549,100","1,519,780",2018/02/12,Low
"1,490,000","1,490,000","1,529,020","1,528,330",2018/02/11,High
"1,492,080","1,490,230","1,493,240","1,490,460",2018/02/10,High
"1,472,690","1,472,690","1,493,000","1,489,310",2018/02/09,High
"1,475,920","1,467,150","1,477,770","1,477,070",2018/02/07,High
"1,478,690","1,472,230","1,493,930","1,474,770",2018/02/06,Low
